,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
Puebla,2258.7444938098697,4211.168940242764,3180.7607095307258,3033.386097970052,2345.2078466818825,4169.481650067434,456.5999417297783,2452.8930126742052,3429.7078910329565,2360.659688937303,1634.240071584189,1092.7331571393988,530.6532551786147,2561.230365442473,874.7913322612995,1692.3193283362727,611.60341563786,3542.4802581526437,2736.181256959574,914.8331944012173,0,1134.2291101255319,3068.4397887056057,1495.0770250198846,2097.204494587959,3119.8442375592213,2017.1326024483867,2127.3099534011135,157.30778858456964,951.7062769305253,3302.171078517827,1784.3922924231422
Querétaro,1090.7854442023722,5416.016697530864,2703.457297869765,4214.083997389079,3525.923325552443,3008.1015931804823,742.0817717086834,1291.512955787253,1973.403618027458,1199.2804933948887,466.2810219766919,1443.9585433309126,658.195134004219,1104.9428105439706,457.3372969187675,725.7563211086904,908.4920759414877,2086.192703254141,1574.8012000726217,2095.54781192724,1143.6879231939688,0,4249.137688124632,333.69782947747,1619.9169396894558,2642.5566826607183,3197.8313632119516,1267.8624356779749,1143.2614386001314,2121.4505336826087,4482.869839281391,622.9963787737317
Quintana Roo,5331.495533769063,8335.794335511982,5198.495892727461,707.3558497596568,1664.807577203721,7242.232690026628,3529.350981688972,5378.462220838953,6502.442212885154,5433.411590241035,4706.975254780925,4114.50171499464,3603.3875770308123,5633.981405401667,3947.5265154580347,4765.070368295466,3633.3728348376385,6615.2321594563755,5106.621914617699,3363.726814503579,3035.7218819379605,4206.981011429263,0,4567.828926323616,4114.955534547152,5137.595277518415,1055.5196952484698,4777.555148269184,3230.06399661099,2537.8288759207385,637.8428329356434,4857.127475619877
San Luis Potosí,328.4284893834077,5099.313654251824,2557.1639761213128,4574.429176349552,3886.2517864059205,2691.3994112459795,1102.4269506691567,905.1197261126672,1998.4033882318358,882.5941682228447,456.48070425701144,1804.3037222913856,1018.5411743092297,1125.229242141301,817.6833372237784,944.6996781305114,1268.8372549019607,2106.4791348514714,1188.4079703980358,2455.892990887713,1504.033102154442,337.6263798111837,4609.482867085106,0,1473.6244792855414,2496.264222256804,3558.1765421724244,881.4524878963931,1503.6066175606043,2481.795712643082,4843.2150182418645,306.31005360168757
Sinaloa,2732.782336514853,3324.7989086004773,1358.391539232977,8763.674289345367,8075.496899401736,1342.3330935090087,5275.175118961165,3742.8501610644257,3836.860157346889,1932.4119657122108,4187.717445015043,6058.3677164816545,5207.785425960508,3135.934052633399,4887.589802451845,4183.991949026524,5522.883669640696,2159.5434733893558,4083.664653145209,6645.121385776532,5693.278215150258,4260.377063146247,8798.727980080921,2799.3988766123734,0,1846.4909240239306,7747.42165516824,4561.796296555659,5692.85173055642,6671.040825638897,9032.46013123768,2449.004169606114
Sonora,4562.956668395754,1343.1511603036276,2102.6757602794205,10593.83276446381,9905.672092627174,1927.6508955804543,7105.332732735069,5573.0253542898645,5667.018632465331,3762.5704408306533,6017.892638240482,7888.525330255558,7037.94390107895,4966.109245858837,6717.748277570287,6014.167142251963,7353.0580015215955,3989.701948507798,5913.839846370647,8475.29657900197,7523.435828924163,6090.5355382646885,10628.886455199365,4629.574069837811,1856.012864145658,0,9577.579268942145,6391.953910329565,7523.009344330325,8501.198439412801,10862.617745011585,4279.162644724556
Tabasco,4288.242136718885,7292.540938461804,4207.242495677283,959.3397282740257,621.5541801535429,6198.97929297645,2486.0975846387937,4335.208823788775,5459.188815834976,4390.158193190857,3663.7218577307467,3071.2483179444616,2560.134179980634,4590.728008351489,2904.273118407857,3721.816971245288,2590.102719680465,5571.978762406196,4063.3685175675205,2320.473417453401,1992.4684848877823,3163.727614379085,1064.5222491095203,3524.575529273438,3123.7021374969736,4146.341880468237,0,3734.2850331120103,2186.810599560812,1494.5754788705606,1228.125570166338,3813.8740785696996
Tamaulipas,1327.4945902929073,3682.9592009025832,3166.5560166165233,4716.738623560535,4028.5779517238993,2999.6532848324514,2083.2939169865476,766.9594989971297,2997.4694891413355,2665.952684839368,1400.5370800912958,3194.445315990594,1849.7414017705846,2124.2953430508005,1761.722133606529,1888.7393358578,2385.416583670505,3105.545235760971,495.1350495383339,3098.667740170142,2142.940690770135,1281.6660375384722,4751.793175640627,890.739865995781,2082.999801673756,3105.6395446450188,3700.4859893834073,0,1997.394762942214,2252.4642541584535,4985.524465452848,1259.0995338382268
Tlaxcala,2258.643762146834,4168.068208579728,3137.660839212228,3194.722658038524,2506.5452680948924,4169.3809184043985,484.29853883528716,2452.79228101117,3429.6071593699207,2360.575675381264,1634.1393399211536,1213.060383424975,530.5525235155791,2561.1296337794374,902.4907907113462,1692.235314780233,731.9139238164402,3542.379526489608,2308.540292907286,1076.169754469689,161.53817875298267,1134.1283784624961,3229.7596306670816,1494.9762933568488,2054.1204810319186,3076.760224003181,2178.4700238613964,1979.4568084517755,0,1220.242908496732,3463.5084999308365,1784.2924221046444
Veracruz,3243.276580212332,5801.109519573261,3559.2769391707297,2516.2396876404882,1828.0622976968566,5076.454472628558,1881.6153035411696,2843.7774049002314,4414.2232593284225,3345.1926366843036,2618.7563012241935,2466.7660368468373,1515.168623474081,3545.7457337379396,2182.3282553515232,2676.851414738735,1985.6362953452985,4526.996487792648,2571.93623733444,1260.1387910225817,1387.98534244562,2118.745339765536,2551.2775216135833,2479.5932546598888,2475.7365809904204,3498.377185306221,1499.9870534633606,2242.870332330463,1229.8567573572639,0,2785.0088114258047,2768.908522063146
Yucatán,5557.090210256942,8561.389011999861,5136.09056921534,281.29580990420857,1890.4022536916,7467.827366514507,3754.945658176851,5604.056897326832,6728.036889373033,5659.005405384376,4932.569069924266,4340.096391482519,3828.9822535186913,5859.576081889546,4173.121191945915,4990.665044783345,3858.9507932185215,6840.825974599717,5332.21572976104,3589.3214909914586,3261.3165584258395,4432.574826572604,637.4324402600546,4793.423602811495,4052.550211035031,5075.189954006294,1213.9861620327142,5003.133106650068,3455.6578117543313,2763.423552408618,0,5082.722152107756
Zacatecas,248.00762933568487,4747.5071529723,2259.374192948784,5567.146220216481,4878.985548379846,2339.608766728914,2131.343994536086,577.9552616108172,2134.9209325829097,530.7876669433206,990.788374312688,2816.570766158315,2011.2582181761593,1261.745925147837,1809.8414845938375,1481.6738217138707,2281.10429876889,2242.9966792025452,971.0654098800013,3448.6100347546426,2496.7501460213716,642.5937323200885,5602.199910952035,313.63001314105884,1175.8346961130133,2198.4744390842757,4550.893586039354,1261.0172752187295,2496.323661427534,3474.5127565100115,5835.932062108794,0
